"date","time","visitor","visitor_pts","home","home_pts","season","date2","home_location","visitor_location"
"Mon, Mar 14, 2016","8:00 pm","Portland Trail Blazers","94","Oklahoma City Thunder","128",2016,2016-03-14,"Oklahoma City","Portland Trail"
"Tue, Feb 2, 2016","9:00 pm","Toronto Raptors","104","Phoenix Suns","97",2016,2016-02-02,"Phoenix","Toronto"
"Sun, Feb 21, 2016","3:30 pm","Cleveland Cavaliers","115","Oklahoma City Thunder","92",2016,2016-02-21,"Oklahoma City","Cleveland"
"Wed, Mar 9, 2016","8:00 pm","Miami Heat","108","Milwaukee Bucks","114",2016,2016-03-09,"Milwaukee","Miami"
"Tue, Nov 10, 2015","7:00 pm","Oklahoma City Thunder","125","Washington Wizards","101",2016,2015-11-10,"Washington D.C.","Oklahoma City"
"Wed, Dec 23, 2015","7:00 pm","Sacramento Kings","108","Indiana Pacers","106",2016,2015-12-23,"Indianapolis","Sacramento"
"Sun, Feb 28, 2016","7:00 pm","Minnesota Timberwolves","101","Dallas Mavericks","128",2016,2016-02-28,"Dallas","Minnesota"
"Sat, Jan 23, 2016","7:00 pm","New York Knicks","84","Charlotte Hornets","97",2016,2016-01-23,"Charlotte","New York"
"Sat, Mar 12, 2016","2:00 pm","Indiana Pacers","112","Dallas Mavericks","105",2016,2016-03-12,"Dallas","Indiana"
"Mon, Jan 18, 2016","2:00 pm","Portland Trail Blazers","108","Washington Wizards","98",2016,2016-01-18,"Washington D.C.","Portland Trail"
"Tue, Apr 12, 2016","10:30 pm","Memphis Grizzlies","84","Los Angeles Clippers","110",2016,2016-04-12,"Los Angeles","Memphis"
"Fri, Nov 20, 2015","10:30 pm","Toronto Raptors","102","Los Angeles Lakers","91",2016,2015-11-20,"Los Angeles","Toronto"
"Sun, Jan 10, 2016","3:30 pm","New Orleans Pelicans","111","Los Angeles Clippers","114",2016,2016-01-10,"Los Angeles","New Orleans"
"Thu, Jan 7, 2016","8:00 pm","Boston Celtics","92","Chicago Bulls","101",2016,2016-01-07,"Chicago","Boston"
"Tue, Jan 12, 2016","10:30 pm","New Orleans Pelicans","91","Los Angeles Lakers","95",2016,2016-01-12,"Los Angeles","New Orleans"
"Mon, Feb 1, 2016","9:00 pm","Toronto Raptors","93","Denver Nuggets","112",2016,2016-02-01,"Denver","Toronto"
"Wed, Mar 23, 2016","10:30 pm","Los Angeles Clippers","98","Golden State Warriors","114",2016,2016-03-23,"San Francisco","Los Angeles"
"Wed, Nov 11, 2015","9:00 pm","Milwaukee Bucks","102","Denver Nuggets","103",2016,2015-11-11,"Denver","Milwaukee"
"Thu, Jan 28, 2016","7:00 pm","Denver Nuggets","117","Washington Wizards","113",2016,2016-01-28,"Washington D.C.","Denver"
"Sat, Mar 5, 2016","7:00 pm","Detroit Pistons","89","New York Knicks","102",2016,2016-03-05,"New York","Detroit"
"Mon, Mar 14, 2016","7:30 pm","Denver Nuggets","119","Miami Heat","124",2016,2016-03-14,"Miami","Denver"
"Wed, Jan 6, 2016","7:00 pm","Indiana Pacers","95","Orlando Magic","86",2016,2016-01-06,"Orlando","Indiana"
"Fri, Nov 6, 2015","7:30 pm","Los Angeles Lakers","104","Brooklyn Nets","98",2016,2015-11-06,"Brooklyn","Los Angeles"
"Tue, Mar 22, 2016","7:30 pm","Charlotte Hornets","105","Brooklyn Nets","100",2016,2016-03-22,"Brooklyn","Charlotte"
"Sat, Nov 21, 2015","7:30 pm","Washington Wizards","97","Detroit Pistons","95",2016,2015-11-21,"Detroit","Washington"
"Sat, Nov 7, 2015","10:30 pm","Houston Rockets","109","Los Angeles Clippers","105",2016,2015-11-07,"Los Angeles","Houston"
"Tue, Nov 17, 2015","7:30 pm","Charlotte Hornets","94","New York Knicks","102",2016,2015-11-17,"New York","Charlotte"
"Wed, Jan 20, 2016","7:30 pm","Cleveland Cavaliers","91","Brooklyn Nets","78",2016,2016-01-20,"Brooklyn","Cleveland"
"Fri, Apr 1, 2016","10:30 pm","Boston Celtics","109","Golden State Warriors","106",2016,2016-04-01,"San Francisco","Boston"
"Mon, Jan 18, 2016","8:30 pm","Boston Celtics","113","Dallas Mavericks","118",2016,2016-01-18,"Dallas","Boston"
"Sun, Dec 20, 2015","5:00 pm","Milwaukee Bucks","101","Phoenix Suns","95",2016,2015-12-20,"Phoenix","Milwaukee"
"Tue, Nov 3, 2015","8:30 pm","Toronto Raptors","102","Dallas Mavericks","91",2016,2015-11-03,"Dallas","Toronto"
"Sat, Nov 7, 2015","9:00 pm","Memphis Grizzlies","79","Utah Jazz","89",2016,2015-11-07,"Salt Lake City","Memphis"
"Mon, Mar 7, 2016","8:00 pm","Milwaukee Bucks","90","Chicago Bulls","100",2016,2016-03-07,"Chicago","Milwaukee"
"Tue, Feb 9, 2016","8:00 pm","Boston Celtics","111","Milwaukee Bucks","112",2016,2016-02-09,"Milwaukee","Boston"
"Mon, Nov 9, 2015","7:00 pm","Orlando Magic","84","Indiana Pacers","97",2016,2015-11-09,"Indianapolis","Orlando"
"Fri, Nov 6, 2015","7:30 pm","Washington Wizards","98","Boston Celtics","118",2016,2015-11-06,"Boston","Washington"
"Wed, Nov 18, 2015","7:00 pm","Minnesota Timberwolves","101","Orlando Magic","104",2016,2015-11-18,"Orlando","Minnesota"
"Thu, Jan 14, 2016","3:00 pm","Toronto Raptors","106","Orlando Magic","103",2016,2016-01-14,"Orlando","Toronto"
"Thu, Dec 17, 2015","7:00 pm","Toronto Raptors","99","Charlotte Hornets","109",2016,2015-12-17,"Charlotte","Toronto"
"Fri, Nov 27, 2015","10:30 pm","New Orleans Pelicans","90","Los Angeles Clippers","111",2016,2015-11-27,"Los Angeles","New Orleans"
"Fri, Jan 15, 2016","7:00 pm","Minnesota Timberwolves","93","Oklahoma City Thunder","113",2016,2016-01-15,"Oklahoma City","Minnesota"
"Wed, Apr 6, 2016","7:30 pm","New Orleans Pelicans","97","Boston Celtics","104",2016,2016-04-06,"Boston","New Orleans"
"Mon, Dec 28, 2015","8:30 pm","Minnesota Timberwolves","95","San Antonio Spurs","101",2016,2015-12-28,"San Antonio","Minnesota"
"Tue, Apr 5, 2016","7:00 pm","New Orleans Pelicans","93","Philadelphia 76ers","107",2016,2016-04-05,"Philadelphia","New Orleans"
"Thu, Dec 3, 2015","7:30 pm","Denver Nuggets","106","Toronto Raptors","105",2016,2015-12-03,"Toronto","Denver"
"Fri, Nov 13, 2015","8:00 pm","Portland Trail Blazers","100","Memphis Grizzlies","101",2016,2015-11-13,"Memphis","Portland Trail"
"Fri, Jan 1, 2016","7:30 pm","Charlotte Hornets","94","Toronto Raptors","104",2016,2016-01-01,"Toronto","Charlotte"
"Sun, Dec 13, 2015","6:00 pm","Philadelphia 76ers","76","Toronto Raptors","96",2016,2015-12-13,"Toronto","Philadelphia"
"Wed, Apr 13, 2016","8:00 pm","Atlanta Hawks","98","Washington Wizards","109",2016,2016-04-13,"Washington D.C.","Atlanta"
"Wed, Jan 20, 2016","7:00 pm","Philadelphia 76ers","96","Orlando Magic","87",2016,2016-01-20,"Orlando","Philadelphia"
"Wed, Jan 20, 2016","7:30 pm","Utah Jazz","111","New York Knicks","118",2016,2016-01-20,"New York","Utah"
"Wed, Dec 16, 2015","7:00 pm","Dallas Mavericks","81","Indiana Pacers","107",2016,2015-12-16,"Indianapolis","Dallas"
"Fri, Dec 11, 2015","9:30 pm","Portland Trail Blazers","106","Phoenix Suns","96",2016,2015-12-11,"Phoenix","Portland Trail"
"Thu, Jan 28, 2016","8:00 pm","New York Knicks","93","Toronto Raptors","103",2016,2016-01-28,"Toronto","New York"
"Wed, Dec 2, 2015","7:00 pm","Los Angeles Lakers","108","Washington Wizards","104",2016,2015-12-02,"Washington D.C.","Los Angeles"
"Fri, Apr 1, 2016","7:00 pm","Philadelphia 76ers","91","Charlotte Hornets","100",2016,2016-04-01,"Charlotte","Philadelphia"
"Mon, Feb 8, 2016","7:30 pm","Denver Nuggets","104","Brooklyn Nets","105",2016,2016-02-08,"Brooklyn","Denver"
"Sat, Dec 19, 2015","7:00 pm","Charlotte Hornets","101","Washington Wizards","109",2016,2015-12-19,"Washington D.C.","Charlotte"
"Wed, Feb 24, 2016","7:00 pm","Charlotte Hornets","103","Cleveland Cavaliers","114",2016,2016-02-24,"Cleveland","Charlotte"
"Tue, Apr 5, 2016","8:00 pm","Chicago Bulls","92","Memphis Grizzlies","108",2016,2016-04-05,"Memphis","Chicago"
"Sat, Mar 5, 2016","7:00 pm","Utah Jazz","106","New Orleans Pelicans","94",2016,2016-03-05,"New Orleans","Utah"
"Fri, Feb 5, 2016","7:00 pm","Philadelphia 76ers","94","Washington Wizards","106",2016,2016-02-05,"Washington D.C.","Philadelphia"
"Fri, Jan 8, 2016","8:30 pm","New York Knicks","99","San Antonio Spurs","100",2016,2016-01-08,"San Antonio","New York"
"Sun, Dec 6, 2015","6:00 pm","Los Angeles Lakers","91","Detroit Pistons","111",2016,2015-12-06,"Detroit","Los Angeles"
"Sat, Apr 2, 2016","8:00 pm","Detroit Pistons","94","Chicago Bulls","90",2016,2016-04-02,"Chicago","Detroit"
"Sat, Dec 26, 2015","7:00 pm","Houston Rockets","108","New Orleans Pelicans","110",2016,2015-12-26,"New Orleans","Houston"
"Wed, Nov 25, 2015","8:00 pm","Memphis Grizzlies","102","Houston Rockets","93",2016,2015-11-25,"Houston","Memphis"
"Sat, Mar 12, 2016","7:30 pm","New Orleans Pelicans","92","Milwaukee Bucks","103",2016,2016-03-12,"Milwaukee","New Orleans"
"Mon, Feb 29, 2016","10:30 pm","Brooklyn Nets","95","Los Angeles Clippers","105",2016,2016-02-29,"Los Angeles","Brooklyn"
"Fri, Dec 18, 2015","8:00 pm","Detroit Pistons","147","Chicago Bulls","144",2016,2015-12-18,"Chicago","Detroit"
"Thu, Jan 14, 2016","8:00 pm","Detroit Pistons","101","Memphis Grizzlies","103",2016,2016-01-14,"Memphis","Detroit"
"Fri, Oct 30, 2015","8:00 pm","Charlotte Hornets","94","Atlanta Hawks","97",2016,2015-10-30,"Atlanta","Charlotte"
"Fri, Mar 25, 2016","8:00 pm","Orlando Magic","97","Miami Heat","108",2016,2016-03-25,"Miami","Orlando"
"Wed, Mar 23, 2016","8:00 pm","Utah Jazz","89","Houston Rockets","87",2016,2016-03-23,"Houston","Utah"
"Fri, Nov 27, 2015","8:00 pm","Detroit Pistons","87","Oklahoma City Thunder","103",2016,2015-11-27,"Oklahoma City","Detroit"
"Sat, Jan 30, 2016","7:00 pm","Brooklyn Nets","103","New Orleans Pelicans","105",2016,2016-01-30,"New Orleans","Brooklyn"
"Fri, Mar 18, 2016","8:00 pm","Minnesota Timberwolves","111","Houston Rockets","116",2016,2016-03-18,"Houston","Minnesota"
"Thu, Jan 7, 2016","8:00 pm","Utah Jazz","94","Houston Rockets","103",2016,2016-01-07,"Houston","Utah"
"Sun, Jan 31, 2016","7:00 pm","Phoenix Suns","78","Dallas Mavericks","91",2016,2016-01-31,"Dallas","Phoenix"
"Mon, Jan 18, 2016","2:30 pm","New Orleans Pelicans","99","Memphis Grizzlies","101",2016,2016-01-18,"Memphis","New Orleans"
"Sat, Nov 21, 2015","7:30 pm","Atlanta Hawks","97","Cleveland Cavaliers","109",2016,2015-11-21,"Cleveland","Atlanta"
"Sat, Oct 31, 2015","8:00 pm","Brooklyn Nets","91","Memphis Grizzlies","101",2016,2015-10-31,"Memphis","Brooklyn"
"Mon, Feb 8, 2016","7:00 pm","Sacramento Kings","100","Cleveland Cavaliers","120",2016,2016-02-08,"Cleveland","Sacramento"
"Sat, Dec 5, 2015","1:00 pm","Denver Nuggets","108","Philadelphia 76ers","105",2016,2015-12-05,"Philadelphia","Denver"
"Wed, Feb 3, 2016","8:00 pm","Orlando Magic","114","Oklahoma City Thunder","117",2016,2016-02-03,"Oklahoma City","Orlando"
"Fri, Mar 25, 2016","8:00 pm","Toronto Raptors","109","Houston Rockets","112",2016,2016-03-25,"Houston","Toronto"
"Sat, Mar 5, 2016","8:30 pm","Houston Rockets","100","Chicago Bulls","108",2016,2016-03-05,"Chicago","Houston"
"Sat, Jan 23, 2016","10:30 pm","Indiana Pacers","97","Sacramento Kings","108",2016,2016-01-23,"Sacramento","Indiana"
"Wed, Mar 9, 2016","8:30 pm","Detroit Pistons","102","Dallas Mavericks","96",2016,2016-03-09,"Dallas","Detroit"
"Fri, Jan 29, 2016","7:30 pm","Orlando Magic","94","Boston Celtics","113",2016,2016-01-29,"Boston","Orlando"
"Sun, Apr 3, 2016","7:00 pm","Chicago Bulls","102","Milwaukee Bucks","98",2016,2016-04-03,"Milwaukee","Chicago"
"Wed, Mar 30, 2016","8:00 pm","Denver Nuggets","109","Memphis Grizzlies","105",2016,2016-03-30,"Memphis","Denver"
"Mon, Nov 30, 2015","8:00 pm","Oklahoma City Thunder","100","Atlanta Hawks","106",2016,2015-11-30,"Atlanta","Oklahoma City"
"Thu, Dec 31, 2015","6:00 pm","Minnesota Timberwolves","90","Detroit Pistons","115",2016,2015-12-31,"Detroit","Minnesota"
"Tue, Jan 19, 2016","9:00 pm","Indiana Pacers","97","Phoenix Suns","94",2016,2016-01-19,"Phoenix","Indiana"
"Sat, Dec 19, 2015","5:00 pm","Los Angeles Lakers","78","Oklahoma City Thunder","118",2016,2015-12-19,"Oklahoma City","Los Angeles"
"Wed, Mar 30, 2016","8:30 pm","New York Knicks","89","Dallas Mavericks","91",2016,2016-03-30,"Dallas","New York"
"Sat, Dec 19, 2015","8:00 pm","Indiana Pacers","84","Memphis Grizzlies","96",2016,2015-12-19,"Memphis","Indiana"
"Wed, Dec 16, 2015","8:00 pm","Memphis Grizzlies","85","Chicago Bulls","98",2016,2015-12-16,"Chicago","Memphis"
"Fri, Mar 4, 2016","7:00 pm","Miami Heat","112","Philadelphia 76ers","102",2016,2016-03-04,"Philadelphia","Miami"
"Fri, Jan 15, 2016","9:30 pm","Cleveland Cavaliers","91","Houston Rockets","77",2016,2016-01-15,"Houston","Cleveland"
"Wed, Mar 16, 2016","10:30 pm","New York Knicks","85","Golden State Warriors","121",2016,2016-03-16,"San Francisco","New York"
"Wed, Apr 13, 2016","8:00 pm","New Orleans Pelicans","109","Minnesota Timberwolves","144",2016,2016-04-13,"Minneapolis","New Orleans"
"Fri, Apr 8, 2016","7:00 pm","Brooklyn Nets","99","Charlotte Hornets","113",2016,2016-04-08,"Charlotte","Brooklyn"
"Fri, Jan 8, 2016","10:00 pm","Golden State Warriors","128","Portland Trail Blazers","108",2016,2016-01-08,"Portland","Golden State"
"Sat, Apr 2, 2016","8:30 pm","Toronto Raptors","95","San Antonio Spurs","102",2016,2016-04-02,"San Antonio","Toronto"
"Sun, Feb 21, 2016","8:00 pm","Los Angeles Lakers","115","Chicago Bulls","126",2016,2016-02-21,"Chicago","Los Angeles"
"Wed, Jan 20, 2016","10:30 pm","Atlanta Hawks","104","Portland Trail Blazers","98",2016,2016-01-20,"Portland","Atlanta"
"Sat, Mar 5, 2016","7:00 pm","Boston Celtics","103","Cleveland Cavaliers","120",2016,2016-03-05,"Cleveland","Boston"
"Fri, Mar 11, 2016","10:30 pm","New York Knicks","94","Los Angeles Clippers","101",2016,2016-03-11,"Los Angeles","New York"
"Fri, Jan 29, 2016","8:00 pm","Houston Rockets","108","Oklahoma City Thunder","116",2016,2016-01-29,"Oklahoma City","Houston"
"Sun, Apr 10, 2016","3:30 pm","Los Angeles Lakers","110","Houston Rockets","130",2016,2016-04-10,"Houston","Los Angeles"
"Sat, Jan 2, 2016","8:30 pm","New Orleans Pelicans","105","Dallas Mavericks","98",2016,2016-01-02,"Dallas","New Orleans"
"Sun, Nov 1, 2015","2:00 pm","Atlanta Hawks","94","Charlotte Hornets","92",2016,2015-11-01,"Charlotte","Atlanta"
"Fri, Mar 4, 2016","7:00 pm","Indiana Pacers","101","Charlotte Hornets","108",2016,2016-03-04,"Charlotte","Indiana"
"Sun, Nov 15, 2015","3:30 pm","Memphis Grizzlies","114","Minnesota Timberwolves","106",2016,2015-11-15,"Minneapolis","Memphis"
"Fri, Nov 20, 2015","10:00 pm","Los Angeles Clippers","91","Portland Trail Blazers","102",2016,2015-11-20,"Portland","Los Angeles"
"Thu, Jan 21, 2016","10:30 pm","San Antonio Spurs","117","Phoenix Suns","89",2016,2016-01-21,"Phoenix","San Antonio"
"Sat, Apr 2, 2016","7:30 pm","Indiana Pacers","115","Philadelphia 76ers","102",2016,2016-04-02,"Philadelphia","Indiana"
"Wed, Mar 23, 2016","10:00 pm","Los Angeles Lakers","107","Phoenix Suns","119",2016,2016-03-23,"Phoenix","Los Angeles"
"Tue, Dec 29, 2015","8:00 pm","Miami Heat","90","Memphis Grizzlies","99",2016,2015-12-29,"Memphis","Miami"
"Wed, Apr 13, 2016","8:00 pm","Detroit Pistons","112","Cleveland Cavaliers","110",2016,2016-04-13,"Cleveland","Detroit"
"Wed, Jan 13, 2016","10:30 pm","Miami Heat","90","Los Angeles Clippers","104",2016,2016-01-13,"Los Angeles","Miami"
"Mon, Feb 29, 2016","7:00 pm","Philadelphia 76ers","108","Washington Wizards","116",2016,2016-02-29,"Washington D.C.","Philadelphia"
"Fri, Mar 18, 2016","8:30 pm","Golden State Warriors","130","Dallas Mavericks","112",2016,2016-03-18,"Dallas","Golden State"
"Tue, Feb 23, 2016","7:00 pm","Orlando Magic","124","Philadelphia 76ers","115",2016,2016-02-23,"Philadelphia","Orlando"
"Sat, Apr 2, 2016","10:00 pm","Miami Heat","93","Portland Trail Blazers","110",2016,2016-04-02,"Portland","Miami"
"Wed, Mar 23, 2016","8:00 pm","New York Knicks","115","Chicago Bulls","107",2016,2016-03-23,"Chicago","New York"
"Thu, Dec 31, 2015","8:00 pm","Los Angeles Clippers","95","New Orleans Pelicans","89",2016,2015-12-31,"New Orleans","Los Angeles"
"Sun, Feb 21, 2016","5:00 pm","San Antonio Spurs","118","Phoenix Suns","111",2016,2016-02-21,"Phoenix","San Antonio"
"Mon, Mar 21, 2016","7:30 pm","Orlando Magic","96","Boston Celtics","107",2016,2016-03-21,"Boston","Orlando"
"Mon, Dec 21, 2015","8:00 pm","Charlotte Hornets","95","Houston Rockets","102",2016,2015-12-21,"Houston","Charlotte"
"Wed, Feb 24, 2016","7:00 pm","New York Knicks","105","Indiana Pacers","108",2016,2016-02-24,"Indianapolis","New York"
"Tue, Nov 24, 2015","8:00 pm","Dallas Mavericks","96","Memphis Grizzlies","110",2016,2015-11-24,"Memphis","Dallas"
"Mon, Jan 18, 2016","8:00 pm","Golden State Warriors","132","Cleveland Cavaliers","98",2016,2016-01-18,"Cleveland","Golden State"
"Mon, Mar 21, 2016","7:00 pm","Denver Nuggets","91","Cleveland Cavaliers","124",2016,2016-03-21,"Cleveland","Denver"
"Wed, Nov 11, 2015","8:00 pm","Golden State Warriors","100","Memphis Grizzlies","84",2016,2015-11-11,"Memphis","Golden State"
"Wed, Mar 23, 2016","8:30 pm","Miami Heat","88","San Antonio Spurs","112",2016,2016-03-23,"San Antonio","Miami"
"Mon, Nov 9, 2015","8:00 pm","Minnesota Timberwolves","117","Atlanta Hawks","107",2016,2015-11-09,"Atlanta","Minnesota"
"Wed, Jan 6, 2016","8:00 pm","Dallas Mavericks","100","New Orleans Pelicans","91",2016,2016-01-06,"New Orleans","Dallas"
"Fri, Jan 8, 2016","8:00 pm","Denver Nuggets","84","Memphis Grizzlies","91",2016,2016-01-08,"Memphis","Denver"
"Fri, Dec 11, 2015","9:30 pm","Los Angeles Lakers","87","San Antonio Spurs","109",2016,2015-12-11,"San Antonio","Los Angeles"
"Sat, Oct 31, 2015","7:00 pm","New York Knicks","117","Washington Wizards","110",2016,2015-10-31,"Washington D.C.","New York"
"Sat, Nov 28, 2015","7:30 pm","Brooklyn Nets","88","Cleveland Cavaliers","90",2016,2015-11-28,"Cleveland","Brooklyn"
"Fri, Oct 30, 2015","9:30 pm","Golden State Warriors","112","Houston Rockets","92",2016,2015-10-30,"Houston","Golden State"
"Fri, Apr 1, 2016","10:30 pm","Washington Wizards","106","Phoenix Suns","99",2016,2016-04-01,"Phoenix","Washington"
"Tue, Jan 12, 2016","7:30 pm","Boston Celtics","114","New York Knicks","120",2016,2016-01-12,"New York","Boston"
"Wed, Mar 9, 2016","9:30 pm","Los Angeles Clippers","108","Oklahoma City Thunder","120",2016,2016-03-09,"Oklahoma City","Los Angeles"
"Fri, Jan 22, 2016","8:30 pm","Oklahoma City Thunder","109","Dallas Mavericks","106",2016,2016-01-22,"Dallas","Oklahoma City"
"Mon, Nov 23, 2015","7:00 pm","Orlando Magic","103","Cleveland Cavaliers","117",2016,2015-11-23,"Cleveland","Orlando"
"Fri, Mar 11, 2016","7:30 pm","Houston Rockets","102","Boston Celtics","98",2016,2016-03-11,"Boston","Houston"
"Fri, Feb 26, 2016","8:30 pm","Denver Nuggets","116","Dallas Mavericks","122",2016,2016-02-26,"Dallas","Denver"
"Thu, Mar 17, 2016","7:00 pm","Toronto Raptors","101","Indiana Pacers","94",2016,2016-03-17,"Indianapolis","Toronto"
"Sun, Mar 6, 2016","3:30 pm","Oklahoma City Thunder","104","Milwaukee Bucks","96",2016,2016-03-06,"Milwaukee","Oklahoma City"
"Wed, Jan 13, 2016","8:00 pm","Dallas Mavericks","89","Oklahoma City Thunder","108",2016,2016-01-13,"Oklahoma City","Dallas"
"Mon, Feb 29, 2016","7:00 pm","Indiana Pacers","96","Cleveland Cavaliers","100",2016,2016-02-29,"Cleveland","Indiana"
"Wed, Dec 16, 2015","7:30 pm","Boston Celtics","116","Detroit Pistons","119",2016,2015-12-16,"Detroit","Boston"
"Sat, Nov 7, 2015","7:00 pm","Orlando Magic","105","Philadelphia 76ers","97",2016,2015-11-07,"Philadelphia","Orlando"
"Sat, Dec 12, 2015","8:30 pm","Golden State Warriors","95","Milwaukee Bucks","108",2016,2015-12-12,"Milwaukee","Golden State"
"Sat, Dec 26, 2015","8:30 pm","Denver Nuggets","86","San Antonio Spurs","101",2016,2015-12-26,"San Antonio","Denver"
"Sat, Jan 23, 2016","9:00 pm","Atlanta Hawks","95","Phoenix Suns","98",2016,2016-01-23,"Phoenix","Atlanta"
"Wed, Nov 18, 2015","8:00 pm","New Orleans Pelicans","103","Oklahoma City Thunder","110",2016,2015-11-18,"Oklahoma City","New Orleans"
"Wed, Jan 27, 2016","8:00 pm","Oklahoma City Thunder","126","Minnesota Timberwolves","123",2016,2016-01-27,"Minneapolis","Oklahoma City"
"Wed, Feb 10, 2016","8:00 pm","Utah Jazz","96","New Orleans Pelicans","100",2016,2016-02-10,"New Orleans","Utah"
"Sat, Jan 2, 2016","8:00 pm","Milwaukee Bucks","95","Minnesota Timberwolves","85",2016,2016-01-02,"Minneapolis","Milwaukee"
"Mon, Nov 16, 2015","7:00 pm","Dallas Mavericks","92","Philadelphia 76ers","86",2016,2015-11-16,"Philadelphia","Dallas"
"Wed, Feb 10, 2016","8:00 pm","Atlanta Hawks","113","Chicago Bulls","90",2016,2016-02-10,"Chicago","Atlanta"
"Tue, Dec 8, 2015","7:30 pm","Houston Rockets","105","Brooklyn Nets","110",2016,2015-12-08,"Brooklyn","Houston"
"Mon, Dec 28, 2015","8:00 pm","Toronto Raptors","97","Chicago Bulls","104",2016,2015-12-28,"Chicago","Toronto"
"Thu, Mar 31, 2016","9:30 pm","Los Angeles Clippers","117","Oklahoma City Thunder","119",2016,2016-03-31,"Oklahoma City","Los Angeles"
"Tue, Mar 29, 2016","10:30 pm","Washington Wizards","94","Golden State Warriors","102",2016,2016-03-29,"San Francisco","Washington"
"Fri, Jan 29, 2016","8:00 pm","Miami Heat","107","Milwaukee Bucks","103",2016,2016-01-29,"Milwaukee","Miami"
"Sun, Dec 27, 2015","7:00 pm","Denver Nuggets","112","Oklahoma City Thunder","122",2016,2015-12-27,"Oklahoma City","Denver"
"Mon, Dec 28, 2015","9:00 pm","Cleveland Cavaliers","101","Phoenix Suns","97",2016,2015-12-28,"Phoenix","Cleveland"
"Sat, Feb 27, 2016","3:00 pm","Miami Heat","89","Boston Celtics","101",2016,2016-02-27,"Boston","Miami"
"Wed, Nov 4, 2015","8:00 pm","Brooklyn Nets","87","Atlanta Hawks","101",2016,2015-11-04,"Atlanta","Brooklyn"
"Fri, Jan 22, 2016","8:00 pm","Milwaukee Bucks","98","Houston Rockets","102",2016,2016-01-22,"Houston","Milwaukee"
"Wed, Nov 18, 2015","10:30 pm","Chicago Bulls","103","Phoenix Suns","97",2016,2015-11-18,"Phoenix","Chicago"
"Sat, Apr 9, 2016","7:00 pm","Phoenix Suns","121","New Orleans Pelicans","100",2016,2016-04-09,"New Orleans","Phoenix"
"Fri, Nov 20, 2015","10:30 pm","Chicago Bulls","94","Golden State Warriors","106",2016,2015-11-20,"San Francisco","Chicago"
"Fri, Feb 19, 2016","10:00 pm","Golden State Warriors","105","Portland Trail Blazers","137",2016,2016-02-19,"Portland","Golden State"
"Sat, Nov 7, 2015","8:30 pm","Brooklyn Nets","86","Milwaukee Bucks","94",2016,2015-11-07,"Milwaukee","Brooklyn"
"Wed, Apr 13, 2016","8:00 pm","Orlando Magic","103","Charlotte Hornets","117",2016,2016-04-13,"Charlotte","Orlando"
"Fri, Feb 5, 2016","7:00 pm","Los Angeles Clippers","107","Orlando Magic","93",2016,2016-02-05,"Orlando","Los Angeles"
"Mon, Dec 14, 2015","7:30 pm","Los Angeles Clippers","105","Detroit Pistons","103",2016,2015-12-14,"Detroit","Los Angeles"
"Sat, Mar 26, 2016","10:00 pm","Philadelphia 76ers","105","Portland Trail Blazers","108",2016,2016-03-26,"Portland","Philadelphia"
"Wed, Mar 9, 2016","10:00 pm","Cleveland Cavaliers","120","Sacramento Kings","111",2016,2016-03-09,"Sacramento","Cleveland"
"Fri, Dec 18, 2015","8:00 pm","Los Angeles Clippers","107","San Antonio Spurs","115",2016,2015-12-18,"San Antonio","Los Angeles"
"Wed, Nov 25, 2015","7:00 pm","New York Knicks","91","Orlando Magic","100",2016,2015-11-25,"Orlando","New York"
"Sun, Nov 22, 2015","3:30 pm","Toronto Raptors","91","Los Angeles Clippers","80",2016,2015-11-22,"Los Angeles","Toronto"
"Fri, Nov 13, 2015","10:00 pm","Brooklyn Nets","109","Sacramento Kings","111",2016,2015-11-13,"Sacramento","Brooklyn"
"Mon, Feb 29, 2016","7:30 pm","Utah Jazz","95","Boston Celtics","100",2016,2016-02-29,"Boston","Utah"
"Tue, Jan 12, 2016","7:00 pm","Phoenix Suns","97","Indiana Pacers","116",2016,2016-01-12,"Indianapolis","Phoenix"
"Thu, Apr 7, 2016","8:00 pm","Phoenix Suns","124","Houston Rockets","115",2016,2016-04-07,"Houston","Phoenix"
"Sun, Nov 29, 2015","6:00 pm","Phoenix Suns","107","Toronto Raptors","102",2016,2015-11-29,"Toronto","Phoenix"
"Fri, Jan 15, 2016","7:30 pm","Phoenix Suns","103","Boston Celtics","117",2016,2016-01-15,"Boston","Phoenix"
"Sun, Apr 3, 2016","3:30 pm","Washington Wizards","109","Los Angeles Clippers","114",2016,2016-04-03,"Los Angeles","Washington"
"Sun, Nov 8, 2015","3:30 pm","Los Angeles Lakers","95","New York Knicks","99",2016,2015-11-08,"New York","Los Angeles"
"Tue, Dec 22, 2015","7:30 pm","Dallas Mavericks","99","Toronto Raptors","103",2016,2015-12-22,"Toronto","Dallas"
"Sun, Mar 20, 2016","7:00 pm","Utah Jazz","94","Milwaukee Bucks","85",2016,2016-03-20,"Milwaukee","Utah"
"Fri, Mar 25, 2016","8:00 pm","Milwaukee Bucks","90","Atlanta Hawks","101",2016,2016-03-25,"Atlanta","Milwaukee"
"Mon, Feb 8, 2016","8:00 pm","Orlando Magic","117","Atlanta Hawks","110",2016,2016-02-08,"Atlanta","Orlando"
