"date","time","visitor","visitor_pts","home","home_pts","season","date2","home_location","visitor_location"
"Mon, Nov 23, 2015","7:30 pm","New York Knicks","78","Miami Heat","95",2016,2015-11-23,"Miami","New York"
"Sun, Dec 6, 2015","3:30 pm","Phoenix Suns","93","Memphis Grizzlies","95",2016,2015-12-06,"Memphis","Phoenix"
"Fri, Apr 8, 2016","7:00 pm","Miami Heat","109","Orlando Magic","112",2016,2016-04-08,"Orlando","Miami"
"Mon, Dec 28, 2015","7:30 pm","Brooklyn Nets","111","Miami Heat","105",2016,2015-12-28,"Miami","Brooklyn"
"Wed, Feb 3, 2016","8:30 pm","New Orleans Pelicans","97","San Antonio Spurs","110",2016,2016-02-03,"San Antonio","New Orleans"
"Sun, Apr 3, 2016","6:00 pm","Memphis Grizzlies","107","Orlando Magic","119",2016,2016-04-03,"Orlando","Memphis"
"Fri, Dec 4, 2015","7:00 pm","Phoenix Suns","106","Washington Wizards","109",2016,2015-12-04,"Washington D.C.","Phoenix"
"Wed, Dec 9, 2015","7:00 pm","Houston Rockets","109","Washington Wizards","103",2016,2015-12-09,"Washington D.C.","Houston"
"Tue, Dec 8, 2015","9:00 pm","Orlando Magic","85","Denver Nuggets","74",2016,2015-12-08,"Denver","Orlando"
"Thu, Mar 17, 2016","9:00 pm","Phoenix Suns","69","Utah Jazz","103",2016,2016-03-17,"Salt Lake City","Phoenix"
"Tue, Apr 5, 2016","9:00 pm","Oklahoma City Thunder","124","Denver Nuggets","102",2016,2016-04-05,"Denver","Oklahoma City"
"Fri, Dec 18, 2015","8:30 pm","Memphis Grizzlies","88","Dallas Mavericks","97",2016,2015-12-18,"Dallas","Memphis"
"Mon, Dec 7, 2015","7:00 pm","Detroit Pistons","84","Charlotte Hornets","104",2016,2015-12-07,"Charlotte","Detroit"
"Fri, Jan 8, 2016","7:00 pm","Toronto Raptors","97","Washington Wizards","88",2016,2016-01-08,"Washington D.C.","Toronto"
"Wed, Dec 2, 2015","10:30 pm","Indiana Pacers","103","Los Angeles Clippers","91",2016,2015-12-02,"Los Angeles","Indiana"
"Sun, Feb 28, 2016","1:00 pm","Cleveland Cavaliers","99","Washington Wizards","113",2016,2016-02-28,"Washington D.C.","Cleveland"
"Sat, Dec 26, 2015","9:00 pm","Philadelphia 76ers","111","Phoenix Suns","104",2016,2015-12-26,"Phoenix","Philadelphia"
"Mon, Dec 21, 2015","7:00 pm","Sacramento Kings","99","Washington Wizards","113",2016,2015-12-21,"Washington D.C.","Sacramento"
"Mon, Mar 28, 2016","7:30 pm","Brooklyn Nets","99","Miami Heat","110",2016,2016-03-28,"Miami","Brooklyn"
"Mon, Mar 7, 2016","10:30 pm","Orlando Magic","113","Golden State Warriors","119",2016,2016-03-07,"San Francisco","Orlando"
"Sat, Mar 5, 2016","7:00 pm","Indiana Pacers","100","Washington Wizards","99",2016,2016-03-05,"Washington D.C.","Indiana"
"Sun, Mar 27, 2016","8:00 pm","Philadelphia 76ers","105","Golden State Warriors","117",2016,2016-03-27,"San Francisco","Philadelphia"
"Wed, Feb 10, 2016","7:30 pm","Denver Nuggets","103","Detroit Pistons","92",2016,2016-02-10,"Detroit","Denver"
"Sat, Feb 20, 2016","8:30 pm","Golden State Warriors","115","Los Angeles Clippers","112",2016,2016-02-20,"Los Angeles","Golden State"
"Wed, Dec 9, 2015","7:30 pm","Memphis Grizzlies","93","Detroit Pistons","92",2016,2015-12-09,"Detroit","Memphis"
"Thu, Feb 4, 2016","9:00 pm","Houston Rockets","111","Phoenix Suns","105",2016,2016-02-04,"Phoenix","Houston"
"Fri, Feb 5, 2016","7:30 pm","Sacramento Kings","119","Brooklyn Nets","128",2016,2016-02-05,"Brooklyn","Sacramento"
"Fri, Jan 1, 2016","10:30 pm","Philadelphia 76ers","84","Los Angeles Lakers","93",2016,2016-01-01,"Los Angeles","Philadelphia"
"Thu, Mar 10, 2016","7:30 pm","Atlanta Hawks","96","Toronto Raptors","104",2016,2016-03-10,"Toronto","Atlanta"
"Wed, Nov 4, 2015","9:00 pm","Sacramento Kings","97","Phoenix Suns","118",2016,2015-11-04,"Phoenix","Sacramento"
"Sun, Jan 10, 2016","5:00 pm","Dallas Mavericks","93","Minnesota Timberwolves","87",2016,2016-01-10,"Minneapolis","Dallas"
"Wed, Jan 13, 2016","7:00 pm","Atlanta Hawks","84","Charlotte Hornets","107",2016,2016-01-13,"Charlotte","Atlanta"
"Tue, Dec 8, 2015","7:00 pm","Golden State Warriors","131","Indiana Pacers","123",2016,2015-12-08,"Indianapolis","Golden State"
"Thu, Dec 17, 2015","10:30 pm","Houston Rockets","107","Los Angeles Lakers","87",2016,2015-12-17,"Los Angeles","Houston"
"Thu, Apr 7, 2016","8:00 pm","Toronto Raptors","87","Atlanta Hawks","95",2016,2016-04-07,"Atlanta","Toronto"
"Mon, Feb 8, 2016","8:00 pm","New Orleans Pelicans","116","Minnesota Timberwolves","102",2016,2016-02-08,"Minneapolis","New Orleans"
"Mon, Dec 28, 2015","9:00 pm","Philadelphia 76ers","91","Utah Jazz","95",2016,2015-12-28,"Salt Lake City","Philadelphia"
"Mon, Jan 4, 2016","8:00 pm","San Antonio Spurs","123","Milwaukee Bucks","98",2016,2016-01-04,"Milwaukee","San Antonio"
"Tue, Dec 8, 2015","10:00 pm","Utah Jazz","106","Sacramento Kings","114",2016,2015-12-08,"Sacramento","Utah"
"Mon, Jan 11, 2016","7:30 pm","San Antonio Spurs","106","Brooklyn Nets","79",2016,2016-01-11,"Brooklyn","San Antonio"
"Wed, Nov 11, 2015","7:00 pm","New York Knicks","93","Charlotte Hornets","95",2016,2015-11-11,"Charlotte","New York"
"Sun, Jan 10, 2016","9:30 pm","Utah Jazz","86","Los Angeles Lakers","74",2016,2016-01-10,"Los Angeles","Utah"
"Fri, Nov 13, 2015","7:30 pm","Cleveland Cavaliers","90","New York Knicks","84",2016,2015-11-13,"New York","Cleveland"
"Fri, Dec 11, 2015","8:00 pm","Charlotte Hornets","123","Memphis Grizzlies","99",2016,2015-12-11,"Memphis","Charlotte"
"Wed, Nov 18, 2015","7:30 pm","Dallas Mavericks","106","Boston Celtics","102",2016,2015-11-18,"Boston","Dallas"
"Mon, Feb 22, 2016","8:00 pm","Golden State Warriors","102","Atlanta Hawks","92",2016,2016-02-22,"Atlanta","Golden State"
"Mon, Nov 16, 2015","9:00 pm","Los Angeles Lakers","101","Phoenix Suns","120",2016,2015-11-16,"Phoenix","Los Angeles"
"Sun, Dec 20, 2015","1:00 pm","Portland Trail Blazers","109","Miami Heat","116",2016,2015-12-20,"Miami","Portland Trail"
"Mon, Feb 8, 2016","7:30 pm","Toronto Raptors","103","Detroit Pistons","89",2016,2016-02-08,"Detroit","Toronto"
"Wed, Jan 13, 2016","8:00 pm","Minnesota Timberwolves","104","Houston Rockets","107",2016,2016-01-13,"Houston","Minnesota"
"Sat, Jan 2, 2016","7:30 pm","Orlando Magic","79","Cleveland Cavaliers","104",2016,2016-01-02,"Cleveland","Orlando"
"Wed, Dec 23, 2015","7:30 pm","Dallas Mavericks","119","Brooklyn Nets","118",2016,2015-12-23,"Brooklyn","Dallas"
"Wed, Jan 13, 2016","8:00 pm","Indiana Pacers","94","Boston Celtics","103",2016,2016-01-13,"Boston","Indiana"
"Fri, Feb 5, 2016","7:30 pm","Memphis Grizzlies","91","New York Knicks","85",2016,2016-02-05,"New York","Memphis"
"Sun, Nov 8, 2015","6:00 pm","Toronto Raptors","76","Miami Heat","96",2016,2015-11-08,"Miami","Toronto"
"Fri, Mar 4, 2016","7:30 pm","Portland Trail Blazers","115","Toronto Raptors","117",2016,2016-03-04,"Toronto","Portland Trail"
"Sat, Dec 12, 2015","8:00 pm","Los Angeles Lakers","97","Houston Rockets","126",2016,2015-12-12,"Houston","Los Angeles"
"Sun, Mar 27, 2016","6:00 pm","Houston Rockets","101","Indiana Pacers","104",2016,2016-03-27,"Indianapolis","Houston"
"Tue, Mar 8, 2016","9:00 pm","Atlanta Hawks","91","Utah Jazz","84",2016,2016-03-08,"Salt Lake City","Atlanta"
